location,property_type,area,rooms,bathrooms,floor_number,total_floors,age_of_property,furnishing_status,parking_spaces,near_metro,gated,near_school,near_it_park,pool,gym,security,garden,clubhouse,play_area,backup,rainwater,ev_charging,cctv,intercom,rooftop,price
BTM Layout,Independent House,972,2,3,8,16,10,Fully-Furnished,2,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,1,12477966
Koramangala,Villa,4477,4,3,12,20,0,Semi-Furnished,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,112270851
KR Puram,Independent House,1680,3,2,8,14,0,Fully-Furnished,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,17508083
Rajajinagar,Independent House,1369,2,2,4,17,2,Fully-Furnished,2,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,21101978
Rajajinagar,Independent House,805,1,1,8,17,15,Fully-Furnished,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,11553632
Malleswaram,Penthouse,603,1,1,8,14,2,Fully-Furnished,2,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,15468598
Jakkar,Apartment,1291,2,3,12,12,15,Semi-Furnished,2,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,13614275
JP Nagar,Apartment,912,2,3,4,16,10,Semi-Furnished,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,11070536
Kanakapura Road,Penthouse,583,1,1,5,15,15,Fully-Furnished,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,7981580
Sahakara Nagar,Apartment,4109,4,3,6,15,10,Semi-Furnished,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,43725206
Old Airport Road,Penthouse,990,2,1,9,18,15,Fully-Furnished,2,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,19666300
Bannerghatta Road,Penthouse,1273,2,3,6,15,0,Unfurnished,2,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,18091344
Koramangala,Penthouse,523,1,1,6,18,15,Semi-Furnished,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,12832642
Hosur Road,Apartment,1230,2,1,10,15,10,Semi-Furnished,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,10859041
CV Raman Nagar,Apartment,1765,3,3,5,17,2,Fully-Furnished,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,18599957
Domlur,Penthouse,747,1,1,15,19,2,Unfurnished,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,15456715
Old Airport Road,Villa,598,1,1,9,19,2,Semi-Furnished,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,12940196
Yeshwanthpur,Villa,1127,2,1,2,11,15,Semi-Furnished,2,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,16678556
Yeshwanthpur,Apartment,3571,4,5,4,6,10,Unfurnished,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,36329985
Hoodi,Penthouse,4380,4,3,9,14,15,Fully-Furnished,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,1,64674576
Electronic City,Penthouse,2619,4,5,10,18,2,Unfurnished,2,1,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,27570771
Electronic City,Independent House,699,1,1,4,8,10,Fully-Furnished,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,6013242
Yeshwanthpur,Villa,802,1,1,9,9,2,Semi-Furnished,2,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,13437727
Rajajinagar,Independent House,836,1,1,2,2,2,Fully-Furnished,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,13615970
Indiranagar,Penthouse,917,2,3,8,14,15,Fully-Furnished,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,22659242
BTM Layout,Apartment,3506,4,4,15,19,5,Semi-Furnished,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,40752872
Panathur,Independent House,2055,3,3,8,8,0,Fully-Furnished,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,22054252
Vijayanagar,Penthouse,985,2,1,11,11,5,Unfurnished,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,13873350
Mahadevapura,Apartment,671,1,1,11,17,15,Fully-Furnished,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,8126422
Bannerghatta Road,Apartment,2439,4,4,7,18,5,Semi-Furnished,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,24016504
Jakkar,Villa,2555,4,5,10,14,2,Unfurnished,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,36808096
Electronic City Phase 2,Penthouse,937,2,3,3,17,5,Unfurnished,0,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,9685279
Devanahalli,Apartment,1378,2,1,12,19,0,Fully-Furnished,2,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,12421694
Kengeri,Penthouse,597,1,1,11,18,0,Fully-Furnished,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,8104427
Malleswaram,Penthouse,774,1,1,6,18,15,Semi-Furnished,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,17565022
Anjanapura,Independent House,612,1,1,3,6,10,Fully-Furnished,2,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,5448048
Electronic City Phase 1,Penthouse,1373,2,3,11,19,2,Semi-Furnished,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,14323647
Sadashivanagar,Villa,3037,4,4,7,9,15,Fully-Furnished,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,97671864
Basavanagudi,Independent House,3791,4,4,5,10,0,Unfurnished,2,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,58155022
Banaswadi,Villa,2701,4,3,10,13,0,Semi-Furnished,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,36604565
Jakkar,Independent House,2032,3,3,6,11,2,Unfurnished,2,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,20834357
Sahakara Nagar,Independent House,3315,4,4,8,8,10,Fully-Furnished,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,36138597
Domlur,Apartment,2671,4,3,4,15,5,Unfurnished,2,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,40546652
Brookefield,Apartment,1662,3,3,8,19,15,Fully-Furnished,2,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,21566999
Outer Ring Road,Apartment,3395,4,5,6,18,2,Semi-Furnished,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,45591774
Domlur,Penthouse,1256,2,2,2,5,2,Semi-Furnished,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,25577753
Chandapura,Independent House,2131,3,3,10,20,5,Semi-Furnished,2,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,13652722
Anjanapura,Independent House,1492,3,2,5,9,2,Unfurnished,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,11332067
Devanahalli,Penthouse,1399,2,2,10,12,0,Fully-Furnished,2,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,16503693
Hoodi,Apartment,1650,3,2,6,15,15,Unfurnished,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,18251391
Kadugodi,Villa,2195,3,3,14,20,15,Unfurnished,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,29309397
Indiranagar,Penthouse,1640,3,3,5,19,15,Unfurnished,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,39387786
Vijayanagar,Villa,3435,4,3,15,20,2,Unfurnished,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,48825604
Rajajinagar,Villa,924,2,1,8,13,10,Fully-Furnished,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,19714000
Bannerghatta Road,Villa,1608,3,3,13,18,2,Unfurnished,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,22962326
Yeshwanthpur,Villa,616,1,1,3,10,2,Fully-Furnished,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,9724294
Basavanagudi,Villa,808,1,1,2,11,0,Unfurnished,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,18069971
Bellandur,Villa,1143,2,3,0,3,2,Fully-Furnished,2,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,23873036
Rajajinagar,Penthouse,1955,3,4,9,17,0,Unfurnished,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,39052953
Sahakara Nagar,Apartment,2716,4,4,2,5,2,Semi-Furnished,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,30687530
Padmanabhanagar,Penthouse,3326,4,5,8,10,10,Unfurnished,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,41404448
Frazer Town,Penthouse,3371,4,3,9,19,10,Semi-Furnished,2,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,69850426
Thanisandra,Independent House,1952,3,4,12,19,0,Fully-Furnished,2,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,22643311
Chandapura,Apartment,1809,3,3,3,16,5,Semi-Furnished,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,11317321
JP Nagar,Penthouse,2034,3,2,15,19,0,Semi-Furnished,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,32085831
Marathahalli,Villa,1544,3,2,9,18,10,Unfurnished,2,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,23216975
Anjanapura,Penthouse,1380,2,1,5,20,2,Fully-Furnished,2,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,15057236
Varthur,Villa,998,2,2,7,13,2,Unfurnished,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,15299375
Malleswaram,Penthouse,532,1,1,1,3,5,Fully-Furnished,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,13452663
Rayan Circle,Independent House,4100,4,3,4,7,2,Unfurnished,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,46746048
Nagarbhavi,Apartment,827,1,1,7,11,15,Semi-Furnished,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,8301266
Hennur Road,Apartment,1882,3,2,15,18,10,Semi-Furnished,2,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,21055408
KR Puram,Villa,832,1,1,3,8,2,Fully-Furnished,2,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,13191704
CV Raman Nagar,Independent House,545,1,1,0,17,15,Fully-Furnished,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,5845165
Sahakara Nagar,Apartment,1153,2,3,6,9,5,Semi-Furnished,2,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,13796690
Hebbal,Penthouse,703,1,1,0,15,2,Semi-Furnished,2,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,12952200
Devanahalli,Villa,1157,2,3,1,19,2,Semi-Furnished,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,14152863
Kadugodi,Villa,1953,3,4,10,16,2,Semi-Furnished,2,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,27531221
Banaswadi,Villa,2683,4,4,15,15,2,Unfurnished,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,36610353
Tumkur Road,Apartment,4185,4,4,3,13,2,Unfurnished,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,31405523
Devanahalli,Villa,1098,2,1,12,13,0,Unfurnished,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,13210541
Varthur,Penthouse,822,1,1,13,18,15,Unfurnished,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0,11097058
Tumkur Road,Villa,939,2,3,13,17,15,Unfurnished,2,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,10536888
Domlur,Penthouse,1799,3,3,14,20,10,Fully-Furnished,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,36605258
Rayan Circle,Penthouse,1588,3,4,11,17,5,Unfurnished,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,24385306
Thanisandra,Apartment,510,1,1,5,9,10,Semi-Furnished,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,6231856
JP Nagar,Penthouse,1061,2,3,1,17,0,Semi-Furnished,2,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,18047538
JP Nagar,Independent House,1849,3,4,14,15,5,Fully-Furnished,2,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,22533201
Outer Ring Road,Independent House,581,1,1,0,11,5,Semi-Furnished,2,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,8913629
JP Nagar,Apartment,812,1,1,14,20,10,Unfurnished,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,8891478
Bellandur,Penthouse,4368,4,3,7,20,10,Semi-Furnished,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,77799004
Banaswadi,Independent House,584,1,1,2,4,5,Semi-Furnished,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,6589931
Nagarbhavi,Independent House,2451,4,5,11,17,2,Semi-Furnished,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,24437971
Jayanagar,Villa,1909,3,4,11,12,0,Fully-Furnished,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,44997964
Old Airport Road,Independent House,4250,4,4,2,4,0,Semi-Furnished,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,60767847
Jakkar,Independent House,580,1,1,6,13,10,Unfurnished,2,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,6341668
Bommasandra,Independent House,993,2,3,13,13,5,Semi-Furnished,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,7705939
Banaswadi,Penthouse,1109,2,3,10,11,15,Fully-Furnished,2,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,14887858
RT Nagar,Apartment,796,1,1,5,5,5,Unfurnished,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,8779306
Old Airport Road,Independent House,1867,3,2,5,13,0,Unfurnished,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,27001799
Bellandur,Independent House,1137,2,2,12,13,5,Unfurnished,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,15645641
Hebbal,Independent House,1392,2,3,13,20,0,Unfurnished,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,18296253
Kengeri,Apartment,1390,2,3,8,14,2,Fully-Furnished,2,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,13092021
Tumkur Road,Independent House,2617,4,5,15,18,15,Unfurnished,2,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,20292021
Koramangala,Villa,1821,3,2,2,11,2,Unfurnished,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,45749460
Panathur,Independent House,2023,3,2,0,17,15,Semi-Furnished,2,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1,21172933
BTM Layout,Penthouse,1475,3,2,12,15,5,Unfurnished,2,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,23521579
Old Airport Road,Penthouse,1297,2,2,1,11,15,Unfurnished,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,24037603
Old Airport Road,Apartment,710,1,1,9,15,10,Unfurnished,2,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,10698843
Bommasandra,Independent House,1217,2,3,8,13,10,Semi-Furnished,2,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,8933001
Hebbal,Apartment,1076,2,1,7,15,15,Unfurnished,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,13089120
Sahakara Nagar,Independent House,609,1,1,7,18,2,Semi-Furnished,2,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,7935400
Bellandur,Villa,612,1,1,0,6,2,Semi-Furnished,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,12216145
Jakkar,Independent House,1583,3,3,5,18,0,Unfurnished,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,16136679
Uttarahalli,Penthouse,1160,2,3,2,17,15,Unfurnished,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,13943020
Outer Ring Road,Penthouse,1030,2,2,13,19,15,Unfurnished,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,18579255
Mahadevapura,Villa,2610,4,3,5,19,2,Semi-Furnished,2,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,44205110
Rayan Circle,Villa,1321,2,3,4,12,0,Semi-Furnished,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,22914091
Bellandur,Penthouse,2869,4,3,14,17,15,Unfurnished,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,51029096
Hosur Road,Penthouse,4244,4,3,12,13,15,Semi-Furnished,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,48354906
Sarjapur Road,Villa,587,1,1,14,14,5,Fully-Furnished,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,9599747
Padmanabhanagar,Villa,1128,2,3,14,16,2,Unfurnished,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,16091018
HSR Layout,Penthouse,3281,4,4,5,8,10,Fully-Furnished,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,61109947
JP Nagar,Apartment,3935,4,3,2,16,10,Semi-Furnished,2,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,44671828
Electronic City,Villa,963,2,1,0,19,0,Unfurnished,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,11260660
KR Puram,Penthouse,691,1,1,0,1,10,Unfurnished,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,8460917
Old Airport Road,Villa,1888,3,4,6,15,2,Fully-Furnished,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,39863841
Electronic City,Villa,1961,3,2,2,8,10,Semi-Furnished,2,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,21895764
Begur,Independent House,621,1,1,7,7,15,Unfurnished,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,5003394
Varthur,Villa,669,1,1,13,17,0,Unfurnished,2,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,10889080
Sadashivanagar,Independent House,1118,2,1,5,11,2,Fully-Furnished,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,26004794
Yelahanka,Independent House,3862,4,4,13,19,2,Semi-Furnished,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,38678794
RT Nagar,Independent House,1091,2,1,0,0,15,Fully-Furnished,2,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,12407028
Electronic City Phase 2,Villa,3310,4,5,11,11,10,Semi-Furnished,2,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,34240091
Yeshwanthpur,Apartment,1156,2,2,5,18,5,Fully-Furnished,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,12750417
Electronic City Phase 2,Penthouse,3834,4,5,9,20,10,Unfurnished,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,36024763
Anjanapura,Apartment,932,2,1,9,10,10,Unfurnished,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,6973765
RT Nagar,Villa,3932,4,4,11,16,5,Unfurnished,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,59754243
Hennur Road,Independent House,666,1,1,10,10,5,Unfurnished,2,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,8143660
KR Puram,Penthouse,1008,2,2,3,18,15,Unfurnished,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,12722054
Brookefield,Independent House,787,1,1,10,16,10,Fully-Furnished,2,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,10993870
Rayan Circle,Apartment,1823,3,2,6,19,10,Semi-Furnished,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,21031985
Mahadevapura,Villa,610,1,1,8,19,15,Semi-Furnished,2,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,10643300
Thanisandra,Penthouse,1739,3,3,12,13,15,Fully-Furnished,1,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,25153397
Bellandur,Apartment,1622,3,4,3,7,10,Semi-Furnished,2,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,22562180
KR Puram,Independent House,4123,4,5,2,16,10,Semi-Furnished,2,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,39578028
Hosur Road,Independent House,510,1,1,10,11,15,Unfurnished,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4010043
Kanakapura Road,Villa,778,1,1,2,5,15,Semi-Furnished,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,11014019
Bellandur,Independent House,1581,3,2,4,10,15,Semi-Furnished,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,21457574
Hebbal,Independent House,3313,4,3,10,16,10,Unfurnished,2,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,40893738
Sarjapur Road,Penthouse,801,1,1,3,8,15,Fully-Furnished,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,11568479
Tumkur Road,Independent House,1398,2,1,12,16,0,Fully-Furnished,2,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,12444564
Domlur,Apartment,543,1,1,7,8,2,Fully-Furnished,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,9296938
Banaswadi,Independent House,1387,2,1,2,13,2,Fully-Furnished,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,14079171
Rayan Circle,Penthouse,1082,2,2,1,15,15,Semi-Furnished,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,16342130
Bannerghatta Road,Independent House,3226,4,3,15,15,2,Fully-Furnished,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,32552743
Yeshwanthpur,Independent House,715,1,1,6,10,0,Unfurnished,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,8193559
Bommasandra,Apartment,926,2,1,11,19,0,Fully-Furnished,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,7209365
Kengeri,Independent House,4357,4,3,15,20,0,Fully-Furnished,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,35894014
Hennur Road,Villa,1118,2,1,10,16,10,Unfurnished,2,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,17817687
Kadugodi,Penthouse,1822,3,4,3,16,2,Semi-Furnished,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,24081681
Begur,Apartment,779,1,1,6,9,10,Unfurnished,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,6665137
Hennur Road,Apartment,1389,2,3,8,19,2,Semi-Furnished,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,15954937
Kengeri,Apartment,3399,4,5,8,12,2,Semi-Furnished,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,28482277
Hoodi,Villa,1751,3,2,8,19,2,Semi-Furnished,2,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,29141585
Marathahalli,Penthouse,1361,2,2,7,18,10,Semi-Furnished,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,18731408
Padmanabhanagar,Independent House,830,1,1,4,6,10,Unfurnished,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,7803930
Padmanabhanagar,Apartment,603,1,1,3,20,5,Fully-Furnished,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,6295774
JP Nagar,Penthouse,975,2,1,7,7,2,Semi-Furnished,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,15628211
Malleswaram,Independent House,976,2,2,10,19,2,Fully-Furnished,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,18252191
Bommasandra,Penthouse,665,1,1,3,16,5,Unfurnished,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,6635219
BTM Layout,Independent House,2311,4,3,13,16,0,Unfurnished,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,27290948
Jayanagar,Independent House,690,1,1,4,16,0,Fully-Furnished,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,12001292
Rayan Circle,Independent House,1463,3,3,13,18,10,Fully-Furnished,2,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,17675515
Domlur,Penthouse,1100,2,3,6,12,15,Unfurnished,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,21832660
Padmanabhanagar,Villa,533,1,1,7,11,2,Fully-Furnished,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,7780095
Hoodi,Villa,2830,4,5,6,11,10,Fully-Furnished,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,45825861
Chandapura,Independent House,1084,2,3,10,17,2,Semi-Furnished,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,7391478
Whitefield,Villa,936,2,1,8,17,5,Semi-Furnished,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,16695073
JP Nagar,Villa,2085,3,2,13,20,5,Fully-Furnished,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,34491373
Nagarbhavi,Penthouse,602,1,1,2,7,0,Semi-Furnished,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,8974710
Hosur Road,Apartment,3166,4,3,11,17,10,Unfurnished,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,27220910
CV Raman Nagar,Apartment,678,1,1,13,18,5,Unfurnished,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,7091125
Sahakara Nagar,Villa,730,1,1,13,17,15,Fully-Furnished,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,11192738
KR Puram,Villa,680,1,1,15,20,10,Semi-Furnished,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,9987138
Chandapura,Apartment,819,1,1,0,19,10,Unfurnished,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,5322592
Yeshwanthpur,Penthouse,837,1,1,11,14,15,Semi-Furnished,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,11624877
Devanahalli,Independent House,3951,4,3,13,15,10,Fully-Furnished,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,30383549
Begur,Independent House,566,1,1,2,20,10,Unfurnished,2,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,5081160
Jakkar,Apartment,539,1,1,4,13,5,Unfurnished,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,5751064
HSR Layout,Villa,747,1,1,5,6,0,Semi-Furnished,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,15426273
Magadi Road,Independent House,2014,3,3,15,16,0,Semi-Furnished,2,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,17205863
Banaswadi,Penthouse,1811,3,3,3,15,10,Unfurnished,2,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,23321211
Outer Ring Road,Apartment,904,2,3,11,16,2,Semi-Furnished,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,13083833
